Dose,Response
1,0
1,26
1,12
1,0
1,48
1,21
1,21
1,0
1,80
1,0
1,0
1,22
1,32
1,37
1,0
1,40
1,66
1,59
0.1,1439
0.1,1402
0.1,1313
0.1,1243
0.1,1311
0.1,1334
0.1,1741
0.1,1542
0.1,1969
0.1,1605
0.1,1228
0.1,1409
0.1,1363
0.1,1045
0.1,1804
0.1,1414
0.1,1843
0.1,1727
0.01,4066
0.01,4850
0.01,4348
0.01,5763
0.01,4986
0.01,4674
0.01,5539
0.01,5156
0.01,4923
0.01,4498
0.01,5639
0.01,5201
0.01,4919
0.01,4969
0.01,4454
0.01,5662
0.01,5208
0.01,4688
0.001,6257
0.001,7442
0.001,5761
0.001,4879
0.001,6681
0.001,6336
0.001,5245
0.001,5868
0.001,6488
0.001,5395
0.001,6698
0.001,6862
0.001,6750
0.001,6341
0.001,6058
0.001,6575
0.001,5048
0.001,6249
1.00E-04,9937
1.00E-04,8849
1.00E-04,6966
1.00E-04,8603
1.00E-04,9474
1.00E-04,8041
1.00E-04,6946
1.00E-04,9670
1.00E-04,9858
1.00E-04,8415
1.00E-04,8382
1.00E-04,8693
1.00E-04,8472
1.00E-04,8012
1.00E-04,7282
1.00E-04,8184
1.00E-04,7576
1.00E-04,8034
1.00E-05,9257
1.00E-05,9635
1.00E-05,8430
1.00E-05,9198
1.00E-05,8122
1.00E-05,7916
1.00E-05,8883
1.00E-05,8284
1.00E-05,8016
1.00E-05,9711
1.00E-05,7969
1.00E-05,90240
1.00E-05,8345
1.00E-05,7175
1.00E-05,9747
1.00E-05,8550
1.00E-05,9039
1.00E-05,9376
1.00E-06,10576
1.00E-06,11645
1.00E-06,11192
1.00E-06,11451
1.00E-06,10771
1.00E-06,10433
1.00E-06,10234
1.00E-06,10961
1.00E-06,11646
1.00E-06,11322
1.00E-06,10159
1.00E-06,10862
1.00E-06,11091
1.00E-06,11474
1.00E-06,10418
1.00E-06,12844
1.00E-06,10802
1.00E-06,10541
1.00E-07,18861
1.00E-07,19999
1.00E-07,19897
1.00E-07,19769
1.00E-07,16281
1.00E-07,18664
1.00E-07,18953
1.00E-07,18892
1.00E-07,16915
1.00E-07,15202
1.00E-07,19254
1.00E-07,18504
1.00E-07,19506
1.00E-07,18760
1.00E-07,19259
1.00E-07,16144
1.00E-07,15942
1.00E-07,18040
0,20183
0,20619
0,22269
0,28092
0,22368
0,20746
0,21605
0,22362
0,23626
0,27102
0,24535
0,21108
0,21245
0,23940
0,21878
0,26052
0,25883
0,27639
