  Nelder-Mead direct search function minimizer
function value for initial parameters = 0.941879
  Scaled convergence tolerance is 1.40351e-08
Stepsize computed as 6551.200629
BUILD              5 275433653.095865 0.823212
HI-REDUCTION       7 269348087.727120 0.823212
HI-REDUCTION       9 92678950.267509 0.823212
LO-REDUCTION      11 91148660.972439 0.823212
LO-REDUCTION      13 23613477.138676 0.823212
HI-REDUCTION      15 19472420.349804 0.823212
LO-REDUCTION      17 6195479.220816 0.823212
HI-REDUCTION      19 4817565.333942 0.823212
LO-REDUCTION      21 1757085.225801 0.823212
HI-REDUCTION      23 1021998.107740 0.823212
LO-REDUCTION      25 462570.342634 0.823212
LO-REDUCTION      27 254670.723713 0.823212
LO-REDUCTION      29 121005.528463 0.823212
LO-REDUCTION      31 64361.132680 0.823212
LO-REDUCTION      33 31245.789869 0.823212
LO-REDUCTION      35 13657.683346 0.823212
HI-REDUCTION      37 7704.764109 0.823212
LO-REDUCTION      39 3607.431375 0.823212
HI-REDUCTION      41 1634.738498 0.823212
LO-REDUCTION      43 821.408351 0.823212
HI-REDUCTION      45 361.015533 0.823212
HI-REDUCTION      47 168.334828 0.823212
HI-REDUCTION      49 89.049033 0.823212
HI-REDUCTION      51 26.531726 0.823212
HI-REDUCTION      53 24.549468 0.823212
LO-REDUCTION      55 22.552573 0.823212
LO-REDUCTION      57 10.384834 0.823212
HI-REDUCTION      59 3.343992 0.823212
HI-REDUCTION      61 3.100993 0.823212
HI-REDUCTION      63 2.615729 0.823212
SHRINK            69 5.711174 0.823212
SHRINK            75 13.162465 0.823212
LO-REDUCTION      77 4.708035 0.823212
HI-REDUCTION      79 3.679455 0.823212
HI-REDUCTION      81 3.229678 0.823212
HI-REDUCTION      83 3.020917 0.823212
HI-REDUCTION      85 2.920541 0.823212
LO-REDUCTION      87 2.520883 0.823212
SHRINK            93 2.961959 0.823212
SHRINK            99 3.102717 0.823212
HI-REDUCTION     101 2.900102 0.823212
HI-REDUCTION     103 2.874114 0.823212
HI-REDUCTION     105 2.692508 0.823212
HI-REDUCTION     107 2.506663 0.823212
HI-REDUCTION     109 2.332259 0.823212
HI-REDUCTION     111 2.139022 0.823212
REFLECTION       113 1.990581 0.708388
HI-REDUCTION     115 1.546913 0.708388
LO-REDUCTION     117 1.456364 0.401816
HI-REDUCTION     119 1.045509 0.401816
